Number,Question
61,"Алгоритм RSA. Поясніть перетворення малої теореми Ферма, яка мета, який результат."
62,"Алгоритм RSA. Поясніть перетворення одного зрівняння за двома різними модулями."
63,"Алгоритм RSA. Опишіть і поясніть значення перетворення $(w^{\wedge}z)\equiv w$ mod n, $z=\{\varphi(n)\cdot] +1\}$."
64,"Алгоритм RSA. Опишіть і поясніть значення перетворення $z=\{\varphi(n)\cdot J+1\}=c\cdot d$."
65,"Алгоритм RSA. Розкрийте смисл і значення виразу $e\cdot d\equiv1$ mod $\varphi(n)$."
66,"Алгоритм RSA. Як виконують мультиплікативне обернення чисел у реальних випадках, чому?"
67,"Обгрунтуйте, на чому базується криптостійкість алгоритма RSA?"
68,"Опишіть і поясніть процедури шифрування/дешифрування RSA."
69,"Опишіть і поясніть модель числової спіралі за (mod n)."
70,"Розкрийте процедуру обчислення пари ключів RSA для користувача спільної мережі."
71,"Розкрийте і прокоментуйте важливе зауваження стосовно обчислення ключів RSA."
72,"RSA. Опишіть Протокол конфіденційної передачі повідомлення від F до Н. Укажіть ключі."
73,"Режими RSA. Забезпечення конфіденційності повідомлення т."
74,"Режими RSA. Забезпечення перевірки цілісності та автентичності повідомлення т."
75,"Режими RSA. Забезпечення конфіденційності, перевірки цілісності та автентичності повідомлення т."
76,"У чому полягає пошук НСД двох цілих чисел? Наведіть приклад для двох невеликих чисел."
77,"Розкрийте алгоритм Евкліда пошуку НСД двох цілих чисел."
78,"Поясніть особливості і відмінності розширеного алгоритма Евкліда від звичайного."
79,"Розкрийте роль зваженої суми у пошуку мультиплікативно оберненого до т за mod p."
80,"Наведіть і розкрийте призначення та основні кроки розширеного алгоритму Евкліда."
81,"Розкрийте процедури додавання/віднімання у $GF(p)$."
82,"Яка мета корекції результата додавання/віднімання додаванням потрібної кількості модулів р?"
83,"Розкрийте процедуру операції множення чисел у $GF(p)$."
84,"Розкрийте процедуру операції піднесення до степені чисел у $GF(p)$."
85,"Розкрийте процедуру операції ділення чисел у $GF(p)$."
86,"Розкрийте раціональну процедуру піднесення до степені чисел у $GF(p)$ за методом «квадратів»."
87,"Розкрийте процедуру мультиплікативного обернення числа у $GF(p)$. (Не алгоритм РАЕ)"
88,"Процедура користування переборним калькулятором для пошуку оберненого числа. Приклад."
89,"Алгоритм Діффі-Хеллмана. Призначення, особливості, переваги, недоліки."
90,"Опишіть процедуру узгодження єдиного секретного ключа на двох комунікаційних станціях."
91,"Що таке дискретне піднесення до степені і проблема дискретного логарифмування?"
92,"Що є базою криптостійкості алгоритма Діффі-Хеллмана? Обгрунтуйте висновок."
93,"Чому криптоаналітик неспроможний прямим обчисленням розкрити алгоритм Діффі-Хеллмана?"
94,"Обгрунтуйте приблизний розрахунок потрібних витрат часу криптоаналітика для успішного перебору варіантів локальних секретних ключів і зламу алгоритма Діффі-Хеллмана."
95,"Алгоритм ElGamal. Забезпечення конфіденційності. Склад, основні властивості."
96,"Алгоритм ElGamal. Розкрийте процедуру двохетапної схеми."
97,"Алгоритм ElGamal. Двохетапна схема з множенням/діленням на єдиний секретний ключ К."
98,"Алгоритм ElGamal. Недолік двохетапної схеми з множенням/діленням на єдиний ключ К."
99,"Алгоритм ElGamal без обернення ключа К для дешифрування на приймальному боці канала."
100,"Алгоритм ElGamal. Отримання ключа дешифрування $K^{\wedge}(-1)$ прямим обчисленням."
101,"Алгоритм ElGamal. Варіант 1, сценарій А відправник, В отримувач. Пряме обчислення $K^{\wedge}(-1)$."
102,"Алгоритм ElGamal. Варіант 2, сценарій А отримувач, В відправник. Пряме обчислення $K^{\wedge}(-1)$."
103,"Наведіть визначення ЕЦП, призначення, склад, принципи виконання, властивості."
104,"ЕЦП RSA НСП. Актори, сценарій, протокол підпису і верифікації. Що засвідчує підпис?"
105,"ЕЦП RSA з захистом конфіденційності ОІД. Актори, сценарій, протокол. Що засвідчує підпис?"
106,"ЕЦП RSA при неоднакових модулях-алфавітах, nj ≠ nz, на двох сторонах комунікації."
107,"ЕЦП RSA при модулях, $j\ne nz$, на сторонах Ј та Z. Узгодження порядку дій у Режимі RSA ЕЦПЗ."
108,"RSA, nj ≠ nz. До чого призведе неузгодженість порядку дій у Режимі RSA ЕЦПЗ? Обгрунтуйте."
109,"Проаналізуйте властивості ЕЦП RSA на відповідність базовим вимогам до підпису."
110,"ЕЦП схема ElGamal. Призначення, склад, принципи виконання. Що засвідчує підпис?"
111,"Базовий варіант ЕЦП за схемою ElGamal над $GF(p)$."
112,"Що є цифровим підписом (ЕЦП) для документа т, який має хеш суму h = hash(m)?"
113,"ЕЦП схема ElGamal. Опишіть процедуру верифікації ЕЦП документа т на боці отримувача."
114,"Чому рівність и =  є тотожністю в разі коректності ЕЦП ElGamal?"
115,"Опишіть особливості і раціональні вимоги до ЕЦП за схемою ElGamal."
116,"Прокоментуйте модифікації схеми ЕЦП ElGamal."
117,"Опишіть стандарт США ЕЦП DSS (Digital Signature Standard)."
118,"Опишіть DSA (Digital Signature Algorithm). Спільні риси, відмінності від базового ЕЦП ElGamal."
119,"ПСП. Аналіз впливу «джерела бланків», ВК/Виборець, на виконання вимог ІПГ."
120,"Схема СП бланків з використанням алгоритма RSA. Протокол засвідчення наосліп."
121,"Протокол засвідчення наосліп. Схема СП бланків з RSA. Обгрунтуйте ужиток ключів."
122,"Опишіть ПЕГ зі СП. Мета, Етапи, процедури, алгоритми, порядок вжитку ключів."
123,"ПЕГ зі СП. Проаналізуйте типи і роль реєстрів даних у ВК, їх користь і загрози."
124,"ПЕГ зі СП. Проаналізуйте відповідність Протоколу вимогам до ІПГ."
